Id,Address,Sold Price,Summary,Type,Year built,Heating,Cooling,Parking,Lot,Bedrooms,Bathrooms,Full bathrooms,Total interior livable area,Total spaces,Garage spaces,Region,Elementary School,Elementary School Score,Elementary School Distance,Middle School,Middle School Score,Middle School Distance,High School,High School Score,High School Distance,Flooring,Heating features,Cooling features,Appliances included,Laundry features,Parking features,Tax assessed value,Annual tax amount,Listed On,Listed Price,Last Sold On,Last Sold Price,City,Zip,State
0,540 Pine Ln,3825000,"540 Pine Ln, Los Altos, CA 94022 is a single family home that contains 1 sq ft and was built in 1969. It contains 0 bedroom and 0 bathroom. This home last sold for $3,825,000 in January 2020. 
 
The Zestimate for this house is $4,111,840. The Rent Zestimate for this home is $8,669/mo.",SingleFamily,1969,"Heating - 2+ Zones, Central Forced Air - Gas","Multi-Zone, Central AC, Whole House / Attic Fan","Garage, Garage - Attached, Covered",1,"Ground Floor Bedroom, Master Bedroom on Ground Floor, Master Suite / Retreat, Walk-in Closet",0,,1,0,0,Los Altos,Santa Rita Elementary School,7,0.4,,,,Los Altos High School,8,1.3,"Tile, Hardwood, Carpet","Forced air, Gas",Central,"Dishwasher, Dryer, Garbage disposal, Microwave, Refrigerator, Washer","Washer / Dryer, Inside, In Utility Room","Garage, Garage - Attached, Covered",886486,12580,2019/10/24,4198000,,,Los Altos,94022,CA
1,1727 W 67th St,505000,"HURRY, HURRY.......Great house 3 bed and 2 baths, detached  2 car garage with plenty of parking in the back,  interior remodeled, brand new kitchen, flooring, paint, appliances, mini split wall A/C Heater unit, new water heater and new windows, etc....Please come see it to appreciate it.",SingleFamily,1926,Combination,"Wall/Window Unit(s), Evaporative Cooling, See Remarks","Detached Carport, Garage",4047,3,2,2,872,1,1,Los Angeles,Raymond Avenue Elementary School,3,0.8,John Muir Middle School,2,1.1,Augustus F. Hawkins High A Critical Design And Gaming,2,1.3,,Combination,"Wall/Window Unit(s), Evaporative Cooling, See Remarks",,Inside,"Detached Carport, Garage",505000,6253,2019/10/16,525000,2019/8/30,328000,Los Angeles,90047,CA
2,28093 Pine Ave,140000,"'THE PERFECT CABIN TO FLIP!  Strawberry delight in old Strawberry just about a 3-minute walk to the river (you can hear the river from the front deck)  is this wonderful 2 bedroom 1 full bathroom and 2 half bathrooms mountain getaway.  Built by the current owners in 1958 to last, a metal roof, large front deck, level lot, master bedroom on the main level of the cabin with the full bathroom and 1 half bathroom.  Open floor plan makes this a great cabin for enjoying family / friends while still in the kitchen or sitting by the airtight wood stove.  Outside on the deck is where you will spend most of the time in the warmer months, having meals and maybe a glass of wine or a cocktail (or 3?).  If you are a fisherman this is an ideal spot where you don't have to drive to catch dinner in the river.  At this almost unheard of price there are challenges including cleaning out the stuff left in the basement...  suggest you hurry and call your realtor to see this underpriced cabin soon, again it is by far the lowest priced cabin on the market. Home and pest at listing agents office.",SingleFamily,1958,Forced air,,0 spaces,9147,2,3,1,1152,0,0,Strawberry,,,,,,,Long Barn High School,,10.1,,Forced air,,,,,49627,468,2019/8/25,180000,,,Strawberry,95375,CA
3,10750 Braddock Dr,1775000,"Rare 2-story Gated 5 bedroom Modern Mediterranean conveniently located in Vet's Park close proximity to Farragut Elementary, Culver Middle and High schools.  Take advantage of this light and airy modern floor plan with 2 bedrooms downstairs and 3 bedrooms upstairs plus additional detached bonus room perfect for a gym or home office or ADU.  Home features include a private sun drenched backyard complete with a patio and water fountain, ring doorbell, central A/C, plantation shutters, alarm system, washer/dryer upstairs, electronic gate, detached garage/bonus room, breakfast bar with barstool seating, wood burning fireplace, upgraded electrical panel, newer kitchens and bathrooms & more.  A unique opportunity to own a 5 bedroom home in the heart of Veteran's Park close to downtown restaurants, shopping with easy access to the 405 and 10 freeways.  Live the Culver City Dream!",SingleFamily,1947,Central,Central Air,"Detached Carport, Driveway, Garage - Two Door",,5,3,3,2612,0,0,Culver City,Farragut Elementary School,9,0.2,Culver City Middle School,7,0.2,Culver City High School,8,0.2,"Wood, Tile",Central,Central Air,Dishwasher,"Stackable, Upper Level","Detached Carport, Driveway, Garage - Two Door",1775000,20787,2019/10/24,1895000,2016/8/30,1500000,Culver City,90230,CA
4,7415 O Donovan Rd,1175000,"Beautiful 200 acre ranch land with several pastures, lots of level land, fully fenced with amazing views and several home building sites. Near the Huerhuero Creek with a portion running through the property. Close to the town of Creston. Currently being farmed with hay crops, endless potential.",VacantLand,,,,0 spaces,,,,,,,,Creston,Santa Margarita Elementary School,6,8.5,Atascadero Middle School,5,10.2,Atascadero High School,6,10.6,,,,,,,,,2019/6/7,1595000,2016/6/27,900000,Creston,93432,CA
5,922 E Channel St,221000,"922 E Channel St, Stockton, CA 95202 is a single family home that contains 1,311 sq ft and was built in 1905. It contains 3 bedrooms and 2 bathrooms. This home last sold for $221,000 in January 2020. 
 
The Zestimate for this house is $260,194. The Rent Zestimate for this home is $1,600/mo.",SingleFamily,1905,Wall Furnace,Window Unit(s),Carport,3576,3,2,2,1311,0,0,Stockton,,,,,,,Stagg Senior High School,2,3.3,"Wood, Tile","None, Wall",,Range / Oven,Inside Area,Carport,208080,2531,2019/10/30,224900,2017/12/28,200000,Stockton,95202,CA
6,1926 Mellon Ave,1589000,"Two newly built modern farm houses in super hot Frogtown. Both homes are two stories with 3 bedrooms and 2.5 bathrooms. They both have an attached garage as well. The first floors offer open floor plans connecting the living room, kitchen, and outdoor spaces. Making the homes perfect for entertaining. Each comes with a master suite that features an ensuite master bath and a private balcony. Engineered oak wood floors throughout. The property is completely landscaped with grass plus pavers and is fenced in for privacy.  A short walk/drive to the LA River bike path, Dodger stadium, Silver Lake, and DTLA",Unknown,1926,Central,Central Air,"Driveway, Garage",,,,,,0,0,Los Angeles,Allesandro Elementary School,8,0.3,,,,,,,,Central,Central Air,"Dishwasher, Disposal, Refrigerator",,"Driveway, Garage",1589000,19220,2019/10/28,1599000,2018/3/14,500000,Los Angeles,90039,CA
7,9013 N Valley Rd,480000,"9013 N Valley Rd, Taylorsville, CA 95983 is a single family home that contains 2,519 sq ft and was built in 2005. It contains 3 bedrooms and 2 bathrooms. This home last sold for $480,000 in January 2020. 
 
The Zestimate for this house is $433,430. The Rent Zestimate for this home is $2,606/mo.",SingleFamily,2005,"Forced air, Propane / Butane, Solar",Other,"Carport, Garage - Attached, Covered",1771149.5999999999,3,2,2,2519,4,4,Taylorsville,Indian Valley Elementary School,4,6.3,,,,Greenville Junior/Senior High School,2,6.3,"Carpet, Hardwood, Linoleum / Vinyl","Forced air, Propane / Butane, Solar",Other,"Dishwasher, Dryer, Garbage disposal, Microwave, Range / Oven, Refrigerator, Washer",,"Carport, Garage - Attached, Covered",,,2019/10/18,499000,,,Taylorsville,95983,CA
8,225 26th Ave #2,1590000,"New Refinished Bathrooms! Come take a NEW look! 4 bedroom, 3 bath condominium,was built in 2001 using high quality materials and superior craftsmanship. It has a wonderful open floor plan, with hard-to-find four bedrooms on one level. Close proximity to The Presidio, Lands' End hiking trail, Baker & China beaches, Clement corridor shops & restaurants. In a three-unit building, this special condominium has modern comforts with a well-appointed kitchen, stainless steel appliances, in-unit side by side laundry. Fresh new custom paint throughout blend seamlessly with carefully crafted details such as inlaid hardwood floors & new carpet in all 4 bedrooms.This home also has a common shared garden, generous one car parking and storage area complete this great property. Located in San Francisco's sought-after Lake District.",Condo,2001,,,"Attached, Enclosed, Garage Door Opener, Interior Access, Independent, On Site",,4,3,3,1601,1,1,San Francisco,Alamo Elementary School,8,0.3,Presidio Middle School,8,0.3,Washington (George) High School,7,0.5,"Carpet, Wood",,,"Dishwasher, Disposal, Range Hood, Ice Maker",Laundry Closet,"Attached, Enclosed, Garage Door Opener, Interior Access, Independent, On Site",1087088,13793,2019/7/18,1650000,,,San Francisco,94121,CA
9,612 Valencia Rd,1275000,"Sprawling one level home on 1.5 acres with level and hillside land only minutes to the Aptos Village!  Located at the end of a private drive of only three parcels, you will find this dynamic home with dramatic open beamed ceiling in the living room which peak to skylights, massive deck and patio area for great parties.  The master suite with its access to the decks has open beamed ceilings, large walk in closet and large master bath.  The cozy family room with its used brick fireplace and open beams has a loft area, access to the decks, and a large laundry room.  The opposite end of the home has a bedroom, bath, and large bonus area with wet bar, family room and bedroom.  Flexibility of living arrangements is fabulous.  There is a shed and outbuilding.   The parking is amazing.  This is the perfect time to live in the country with all the extra parking, privacy, views, parks, ocean and enjoy the quick access to the amenities that Aptos Village has to offer!",SingleFamily,1973,"Gas, Heating - 2+ Zones, Wall Furnace, Central Forced Air, Common",None,"Garage, Garage - Attached",66211.2,0,2,2,2123,0,0,Aptos,Valencia Elementary School,6,0.6,,,,Aptos High School,7,1.5,"Tile, Carpet","Forced air, Gas",None,"Dryer, Range / Oven, Washer","Washer / Dryer, Inside, In Utility Room","Garage, Garage - Attached",167767,1909,2019/10/28,1050000,,,Aptos,95003,CA
